year,state,state_fips,candidate,party,candidatevotes,totalvotes,vote_share,two_party_votes,two_party_vote_share
1948,Nevada,32,Harry Truman,Democrat,31291,62117,50.37429367,60648,51.59444664
1948,Nevada,32,Thomas Dewey,Republican,29357,62117,47.26081427,60648,48.40555336
1952,Nevada,32,Adlai Stevenson,Democrat,31688,82190,38.55456868,82190,38.55456868
1952,Nevada,32,Dwight Eisenhower,Republican,50502,82190,61.44543132,82190,61.44543132
1956,Nevada,32,Adlai Stevenson,Democrat,40640,96689,42.03166855,96689,42.03166855
1956,Nevada,32,Dwight Eisenhower,Republican,56049,96689,57.96833145,96689,57.96833145
1960,Nevada,32,John Kennedy,Democrat,54880,107267,51.16205357,107267,51.16205357
1960,Nevada,32,Richard Nixon,Republican,52387,107267,48.83794643,107267,48.83794643
1964,Nevada,32,Lyndon Johnson,Democrat,79339,135433,58.58173414,135433,58.58173414
1964,Nevada,32,Barry Goldwater,Republican,56094,135433,41.41826586,135433,41.41826586
1968,Nevada,32,Hubert Humphrey,Democrat,60598,154218,39.29372706,133786,45.29472441
1968,Nevada,32,Richard Nixon,Republican,73188,154218,47.45749523,133786,54.70527559
1972,Nevada,32,George McGovern,Democrat,66016,181766,36.31922362,181766,36.31922362
1972,Nevada,32,Richard Nixon,Republican,115750,181766,63.68077638,181766,63.68077638
1976,Nevada,32,"FORD, GERALD",Republican,101273,201876,50.16594345,193752,52.26939593
1976,Nevada,32,"CARTER, JIMMY",Democrat,92479,201876,45.80980404,193752,47.73060407
1980,Nevada,32,"REAGAN, RONALD",Republican,155017,243692,63.61185431,221683,69.92732866
1980,Nevada,32,"CARTER, JIMMY",Democrat,66666,243692,27.35666333,221683,30.07267134
1984,Nevada,32,"REAGAN, RONALD",Republican,188770,282717,66.76995016,280425,67.31568155
1984,Nevada,32,"MONDALE, WALTER",Democrat,91655,282717,32.41934514,280425,32.68431845
1988,Nevada,32,"BUSH, GEORGE H.W.",Republican,206040,343133,60.04668744,338778,60.81858916
1988,Nevada,32,"DUKAKIS, MICHAEL",Democrat,132738,343133,38.6841254,338778,39.18141084
1992,Nevada,32,"CLINTON, BILL",Democrat,189148,506318,37.35755,364976,51.82477752
1992,Nevada,32,"BUSH, GEORGE H.W.",Republican,175828,506318,34.72679225,364976,48.17522248
1996,Nevada,32,"CLINTON, BILL",Democrat,203974,464279,43.93349688,403218,50.58653136
1996,Nevada,32,"DOLE, ROBERT",Republican,199244,464279,42.91471292,403218,49.41346864
2000,Nevada,32,"BUSH, GEORGE W.",Republican,301575,609426,49.48508925,581553,51.8568385
2000,Nevada,32,"GORE, AL",Democrat,279978,609426,45.94126276,581553,48.1431615
2004,Nevada,32,"BUSH, GEORGE W.",Republican,418690,829587,50.46969155,815880,51.31759572
2004,Nevada,32,"KERRY, JOHN",Democrat,397190,829587,47.87804052,815880,48.68240428
2008,Nevada,32,"OBAMA, BARACK H.",Democrat,533736,967848,55.14667592,946563,56.38673813
2008,Nevada,32,"MCCAIN, JOHN",Republican,412827,967848,42.65411511,946563,43.61326187
2012,Nevada,32,"OBAMA, BARACK H.",Democrat,531373,1014918,52.35624947,994940,53.40754216
2012,Nevada,32,"ROMNEY, MITT",Republican,463567,1014918,45.67531564,994940,46.59245784
2016,Nevada,32,"CLINTON, HILLARY",Democrat,539260,1125385,47.91782368,1051318,51.29370942
2016,Nevada,32,"TRUMP, DONALD J.",Republican,512058,1125385,45.50069532,1051318,48.70629058
2020,Nevada,32,"TRUMP, DONALD J.",Republican,669890,1405376,47.66624732,1373376,48.77688266
2020,Nevada,32,"BIDEN, JOSEPH R. JR",Democrat,703486,1405376,50.05678196,1373376,51.22311734
1948,New Hampshire,33,Harry Truman,Democrat,107995,231440,46.66220187,229294,47.09892104
1948,New Hampshire,33,Thomas Dewey,Republican,121299,231440,52.41055997,229294,52.90107896
1952,New Hampshire,33,Adlai Stevenson,Democrat,106663,272950,39.07785309,272950,39.07785309
1952,New Hampshire,33,Dwight Eisenhower,Republican,166287,272950,60.92214691,272950,60.92214691
1956,New Hampshire,33,Adlai Stevenson,Democrat,90364,266994,33.84495532,266883,33.85903186
1956,New Hampshire,33,Dwight Eisenhower,Republican,176519,266994,66.11347071,266883,66.14096814
1960,New Hampshire,33,John Kennedy,Democrat,137772,295761,46.58220658,295761,46.58220658
1960,New Hampshire,33,Richard Nixon,Republican,157989,295761,53.41779342,295761,53.41779342
1964,New Hampshire,33,Lyndon Johnson,Democrat,184064,288093,63.89047981,288093,63.89047981
1964,New Hampshire,33,Barry Goldwater,Republican,104029,288093,36.10952019,288093,36.10952019
1968,New Hampshire,33,Hubert Humphrey,Democrat,130589,297299,43.92513934,285492,45.74173707
1968,New Hampshire,33,Richard Nixon,Republican,154903,297299,52.10343795,285492,54.25826293
1972,New Hampshire,33,George McGovern,Democrat,116435,334059,34.85462149,330159,35.26634137
1972,New Hampshire,33,Richard Nixon,Republican,213724,334059,63.97792007,330159,64.73365863
1976,New Hampshire,33,"FORD, GERALD",Republican,185935,339627,54.74682519,333580,55.73925295
1976,New Hampshire,33,"CARTER, JIMMY",Democrat,147645,339627,43.4726921,333580,44.26074705
1980,New Hampshire,33,"REAGAN, RONALD",Republican,221705,383990,57.73718066,330569,67.06769237
1980,New Hampshire,33,"CARTER, JIMMY",Democrat,108864,383990,28.3507383,330569,32.93230763
1984,New Hampshire,33,"REAGAN, RONALD",Republican,267050,388904,68.66733178,387397,68.93445225
1984,New Hampshire,33,"MONDALE, WALTER",Democrat,120347,388904,30.94516899,387397,31.06554775
1988,New Hampshire,33,"BUSH, GEORGE H.W.",Republican,281537,450525,62.49087176,445233,63.23363273
1988,New Hampshire,33,"DUKAKIS, MICHAEL",Democrat,163696,450525,36.33449864,445233,36.76636727
1992,New Hampshire,33,"CLINTON, BILL",Democrat,209040,537215,38.91179509,411524,50.79655136
1992,New Hampshire,33,"BUSH, GEORGE H.W.",Republican,202484,537215,37.69142708,411524,49.20344864
1996,New Hampshire,33,"CLINTON, BILL",Democrat,246166,496597,49.57057735,442652,55.61163171
1996,New Hampshire,33,"DOLE, ROBERT",Republican,196486,496597,39.56648953,442652,44.38836829
2000,New Hampshire,33,"BUSH, GEORGE W.",Republican,273559,569081,48.07030985,539907,50.6678002
2000,New Hampshire,33,"GORE, AL",Democrat,266348,569081,46.80317916,539907,49.3321998
2004,New Hampshire,33,"KERRY, JOHN",Democrat,340511,678287,50.20161082,671748,50.69028862
2004,New Hampshire,33,"BUSH, GEORGE W.",Republican,331237,678287,48.83434298,671748,49.30971138
2008,New Hampshire,33,"OBAMA, BARACK H.",Democrat,384826,710970,54.12689706,701360,54.86854112
2008,New Hampshire,33,"MCCAIN, JOHN",Republican,316534,710970,44.52142847,701360,45.13145888
2012,New Hampshire,33,"OBAMA, BARACK H.",Democrat,369561,710972,51.97968415,699479,52.83375198
2012,New Hampshire,33,"ROMNEY, MITT",Republican,329918,710972,46.40379649,699479,47.16624802
2016,New Hampshire,33,"CLINTON, HILLARY",Democrat,348526,744296,46.82626267,694316,50.19702844
2016,New Hampshire,33,"TRUMP, DONALD J.",Republican,345790,744296,46.45866698,694316,49.80297156
2020,New Hampshire,33,"TRUMP, DONALD J.",Republican,365654,806182,45.3562595,790575,46.25165228
2020,New Hampshire,33,"BIDEN, JOSEPH R. JR",Democrat,424921,806182,52.70782528,790575,53.74834772
1948,New Jersey,34,Harry Truman,Democrat,895455,1949555,45.93125098,1876579,47.71741557
1948,New Jersey,34,Thomas Dewey,Republican,981124,1949555,50.32553583,1876579,52.28258443
1952,New Jersey,34,Adlai Stevenson,Democrat,1015902,2419554,41.98715962,2390515,42.49720249
1952,New Jersey,34,Dwight Eisenhower,Republican,1374613,2419554,56.81266052,2390515,57.50279751
1956,New Jersey,34,Adlai Stevenson,Democrat,850337,2484312,34.22826924,2457279,34.60482102
1956,New Jersey,34,Dwight Eisenhower,Republican,1606942,2484312,64.68358242,2457279,65.39517898
1960,New Jersey,34,John Kennedy,Democrat,1385415,2773111,49.9588729,2748739,50.40183881
1960,New Jersey,34,Richard Nixon,Republican,1363324,2773111,49.16225856,2748739,49.59816119
1964,New Jersey,34,Lyndon Johnson,Democrat,1867671,2846770,65.60667002,2831514,65.96015418
1964,New Jersey,34,Barry Goldwater,Republican,963843,2846770,33.85742438,2831514,34.03984582
1968,New Jersey,34,Hubert Humphrey,Democrat,1264206,2875395,43.96634202,2589673,48.81720588
1968,New Jersey,34,Richard Nixon,Republican,1325467,2875395,46.09686669,2589673,51.18279412
1972,New Jersey,34,George McGovern,Democrat,1102211,2997229,36.77433389,2947713,37.39207311
1972,New Jersey,34,Richard Nixon,Republican,1845502,2997229,61.57360682,2947713,62.60792689
1976,New Jersey,34,"FORD, GERALD",Republican,1509688,3014472,50.08134094,2954341,51.10066847
1976,New Jersey,34,"CARTER, JIMMY",Democrat,1444653,3014472,47.92391503,2954341,48.89933153
1980,New Jersey,34,"REAGAN, RONALD",Republican,1546557,2975684,51.97315978,2693921,57.40914451
1980,New Jersey,34,"CARTER, JIMMY",Democrat,1147364,2975684,38.55799204,2693921,42.59085549
1984,New Jersey,34,"REAGAN, RONALD",Republican,1933630,3217862,60.09051973,3194953,60.52139108
1984,New Jersey,34,"MONDALE, WALTER",Democrat,1261323,3217862,39.19754794,3194953,39.47860892
1988,New Jersey,34,"BUSH, GEORGE H.W.",Republican,1743192,3099553,56.24010946,3063544,56.90115761
1988,New Jersey,34,"DUKAKIS, MICHAEL",Democrat,1320352,3099553,42.59814238,3063544,43.09884239
1992,New Jersey,34,"CLINTON, BILL",Democrat,1436206,3343594,42.95395912,2793071,51.42031835
1992,New Jersey,34,"BUSH, GEORGE H.W.",Republican,1356865,3343594,40.58103346,2793071,48.57968165
1996,New Jersey,34,"CLINTON, BILL",Democrat,1652361,3075860,53.72029286,2755460,59.9667932
1996,New Jersey,34,"DOLE, ROBERT",Republican,1103099,3075860,35.8631082,2755460,40.0332068
2000,New Jersey,34,"GORE, AL",Democrat,1788850,3187226,56.12560892,3073023,58.21140942
2000,New Jersey,34,"BUSH, GEORGE W.",Republican,1284173,3187226,40.29124386,3073023,41.78859058
2004,New Jersey,34,"KERRY, JOHN",Democrat,1911430,3611691,52.92340901,3581433,53.37053632
2004,New Jersey,34,"BUSH, GEORGE W.",Republican,1670003,3611691,46.23881168,3581433,46.62946368
2008,New Jersey,34,"OBAMA, BARACK H.",Democrat,2215422,3868237,57.27213715,3828629,57.86462987
2008,New Jersey,34,"MCCAIN, JOHN",Republican,1613207,3868237,41.70393386,3828629,42.13537013
2012,New Jersey,34,"OBAMA, BARACK H.",Democrat,2122786,3638499,58.34235491,3600874,58.95196555
2012,New Jersey,34,"ROMNEY, MITT",Republican,1478088,3638499,40.62356483,3600874,41.04803445
2016,New Jersey,34,"CLINTON, HILLARY",Democrat,2148278,3874046,55.45308445,3750211,57.28419014
2016,New Jersey,34,"TRUMP, DONALD J.",Republican,1601933,3874046,41.35038665,3750211,42.71580986
2020,New Jersey,34,"TRUMP, DONALD J.",Republican,1883274,4549353,41.39652386,4491609,41.92871641
2020,New Jersey,34,"BIDEN, JOSEPH R. JR",Democrat,2608335,4549353,57.33419675,4491609,58.07128359
1948,New Mexico,35,Harry Truman,Democrat,105464,187063,56.37886701,185767,56.77219312
1948,New Mexico,35,Thomas Dewey,Republican,80303,187063,42.92831827,185767,43.22780688
1952,New Mexico,35,Adlai Stevenson,Democrat,105661,238608,44.28225374,237831,44.426925
1952,New Mexico,35,Dwight Eisenhower,Republican,132170,238608,55.39210756,237831,55.573075
1956,New Mexico,35,Adlai Stevenson,Democrat,106098,253926,41.78303915,252886,41.95487295
1956,New Mexico,35,Dwight Eisenhower,Republican,146788,253926,57.8073927,252886,58.04512705
1960,New Mexico,35,John Kennedy,Democrat,156027,311107,50.15219844,309760,50.37028667
1960,New Mexico,35,Richard Nixon,Republican,153733,311107,49.41483155,309760,49.62971333
1964,New Mexico,35,Lyndon Johnson,Democrat,194017,327615,59.22103689,325855,59.54090009
1964,New Mexico,35,Barry Goldwater,Republican,131838,327615,40.24174717,325855,40.45909991
1968,New Mexico,35,Hubert Humphrey,Democrat,130081,327281,39.74596753,299773,43.3931675
1968,New Mexico,35,Richard Nixon,Republican,169692,327281,51.84902271,299773,56.6068325
1972,New Mexico,35,George McGovern,Democrat,141084,385931,36.55679383,376690,37.45360907
1972,New Mexico,35,Richard Nixon,Republican,235606,385931,61.04873669,376690,62.54639093
1976,New Mexico,35,"FORD, GERALD",Republican,211419,416590,50.74989798,412567,51.24476752
1976,New Mexico,35,"CARTER, JIMMY",Democrat,201148,416590,48.28440433,412567,48.75523248
1980,New Mexico,35,"REAGAN, RONALD",Republican,250779,456237,54.96682645,418605,59.90826674
1980,New Mexico,35,"CARTER, JIMMY",Democrat,167826,456237,36.78482894,418605,40.09173326
1984,New Mexico,35,"REAGAN, RONALD",Republican,307101,514370,59.70429846,508870,60.34959813
1984,New Mexico,35,"MONDALE, WALTER",Democrat,201769,514370,39.22643233,508870,39.65040187
1988,New Mexico,35,"BUSH, GEORGE H.W.",Republican,270341,521387,51.850353,514838,52.50991574
1988,New Mexico,35,"DUKAKIS, MICHAEL",Democrat,244497,521387,46.89357425,514838,47.49008426
1992,New Mexico,35,"CLINTON, BILL",Democrat,261617,569986,45.89884664,474441,55.14215677
1992,New Mexico,35,"BUSH, GEORGE H.W.",Republican,212824,569986,37.33846094,474441,44.85784323
1996,New Mexico,35,"CLINTON, BILL",Democrat,273495,556074,49.18320224,506246,54.02413056
1996,New Mexico,35,"DOLE, ROBERT",Republican,232751,556074,41.85611987,506246,45.97586944
2000,New Mexico,35,"GORE, AL",Democrat,286783,598605,47.90855405,573200,50.03192603
2000,New Mexico,35,"BUSH, GEORGE W.",Republican,286417,598605,47.8474119,573200,49.96807397
2004,New Mexico,35,"BUSH, GEORGE W.",Republican,376930,756304,49.83842476,747872,50.40033589
2004,New Mexico,35,"KERRY, JOHN",Democrat,370942,756304,49.04667964,747872,49.59966411
2008,New Mexico,35,"OBAMA, BARACK H.",Democrat,472422,830158,56.90748026,819254,57.66490002
2008,New Mexico,35,"MCCAIN, JOHN",Republican,346832,830158,41.77903483,819254,42.33509998
2012,New Mexico,35,"OBAMA, BARACK H.",Democrat,415335,783758,52.99276052,751123,55.29520465
2012,New Mexico,35,"ROMNEY, MITT",Republican,335788,783758,42.84332664,751123,44.70479535
2016,New Mexico,35,"CLINTON, HILLARY",Democrat,385234,798319,48.25564718,704901,54.65079493
2016,New Mexico,35,"TRUMP, DONALD J.",Republican,319667,798319,40.04251433,704901,45.34920507
2020,New Mexico,35,"BIDEN, JOSEPH R. JR",Democrat,501614,923965,54.28928585,903508,55.51849015
2020,New Mexico,35,"TRUMP, DONALD J.",Republican,401894,923965,43.49666925,903508,44.48150985
1948,New York,36,Harry Truman,Democrat,2780204,6178502,44.99802703,5621367,49.45779203
1948,New York,36,Thomas Dewey,Republican,2841163,6178502,45.98465777,5621367,50.54220797
1952,New York,36,Adlai Stevenson,Democrat,3104601,7128241,43.55353586,7057416,43.99061923
1952,New York,36,Dwight Eisenhower,Republican,3952815,7128241,55.45288101,7057416,56.00938077
1956,New York,36,Adlai Stevenson,Democrat,2750769,7093336,38.77962358,7091109,38.79180252
1956,New York,36,Dwight Eisenhower,Republican,4340340,7093336,61.18898076,7091109,61.20819748
1960,New York,36,John Kennedy,Democrat,3830085,7291079,52.53111371,7276504,52.6363347
1960,New York,36,Richard Nixon,Republican,3446419,7291079,47.26898447,7276504,47.3636653
1964,New York,36,Lyndon Johnson,Democrat,4913156,7166015,68.56189947,7156715,68.65099421
1964,New York,36,Barry Goldwater,Republican,2243559,7166015,31.30832129,7156715,31.34900579
1968,New York,36,Hubert Humphrey,Democrat,3378470,6790066,49.75607012,6386402,52.90099183
1968,New York,36,Richard Nixon,Republican,3007932,6790066,44.29900976,6386402,47.09900817
1972,New York,36,George McGovern,Democrat,2951084,7161830,41.20572535,7143862,41.3093646
1972,New York,36,Richard Nixon,Republican,4192778,7161830,58.54338905,7143862,58.6906354
1976,New York,36,"CARTER, JIMMY",Democrat,3244165,6668262,48.65083286,6070078,53.44519461
1976,New York,36,"FORD, GERALD",Republican,2825913,6668262,42.37855381,6070078,46.55480539
1980,New York,36,"CARTER, JIMMY",Democrat,2728372,6201959,43.99209992,5366072,50.8448638
1980,New York,36,"REAGAN, RONALD",Republican,2637700,6201959,42.53011024,5366072,49.1551362
1984,New York,36,"REAGAN, RONALD",Republican,3376519,6806810,49.60501321,6377804,52.94171787
1984,New York,36,"MONDALE, WALTER",Democrat,3001285,6806810,44.09238689,6377804,47.05828213
1988,New York,36,"DUKAKIS, MICHAEL",Democrat,3255487,6485683,50.19497561,6093901,53.42205264
1988,New York,36,"BUSH, GEORGE H.W.",Republican,2838414,6485683,43.76430362,6093901,46.57794736
1992,New York,36,"CLINTON, BILL",Democrat,3346894,7079432,47.27630691,5388584,62.1108254
1992,New York,36,"BUSH, GEORGE H.W.",Republican,2041690,7079432,28.83974308,5388584,37.8891746
1996,New York,36,"CLINTON, BILL",Democrat,3649630,6439129,56.67893903,5388337,67.73202938
1996,New York,36,"DOLE, ROBERT",Republican,1738707,6439129,27.00220791,5388337,32.26797062
2000,New York,36,"GORE, AL",Democrat,3942215,6960215,56.63927048,6200792,63.57599158
2000,New York,36,"BUSH, GEORGE W.",Republican,2258577,6960215,32.44981656,6200792,36.42400842
2004,New York,36,"KERRY, JOHN",Democrat,4180755,7448266,56.13058127,6987748,59.82979066
2004,New York,36,"BUSH, GEORGE W.",Republican,2806993,7448266,37.68652999,6987748,40.17020934
2008,New York,36,"OBAMA, BARACK H.",Democrat,4645332,7722019,60.15696154,7063655,65.76385738
2008,New York,36,"MCCAIN, JOHN",Republican,2418323,7722019,31.31723711,7063655,34.23614262
2012,New York,36,"OBAMA, BARACK H.",Democrat,4324228,7116784,60.76098417,6547625,66.04269487
2012,New York,36,"ROMNEY, MITT",Republican,2223397,7116784,31.24159733,6547625,33.95730513
2016,New York,36,"CLINTON, HILLARY",Democrat,4379789,7802084,56.1361426,6906931,63.4115065
2016,New York,36,"TRUMP, DONALD J.",Republican,2527142,7802084,32.39060231,6906931,36.5884935
2020,New York,36,"BIDEN, JOSEPH R. JR",Democrat,5230985,8661735,60.39188454,8475783,61.71683489
2020,New York,36,"TRUMP, DONALD J.",Republican,3244798,8661735,37.46129384,8475783,38.28316511
1948,North Carolina,37,Harry Truman,Democrat,459070,791209,58.02133191,717642,63.96922142
1948,North Carolina,37,Thomas Dewey,Republican,258572,791209,32.68061915,717642,36.03077858
1952,North Carolina,37,Adlai Stevenson,Democrat,652803,1210910,53.91011718,1210910,53.91011718
1952,North Carolina,37,Dwight Eisenhower,Republican,558107,1210910,46.08988282,1210910,46.08988282
1956,North Carolina,37,Adlai Stevenson,Democrat,590530,1165592,50.66352549,1165592,50.66352549
1956,North Carolina,37,Dwight Eisenhower,Republican,575062,1165592,49.33647451,1165592,49.33647451
1960,North Carolina,37,John Kennedy,Democrat,713136,1368556,52.1086459,1368556,52.1086459
1960,North Carolina,37,Richard Nixon,Republican,655420,1368556,47.8913541,1368556,47.8913541
1964,North Carolina,37,Lyndon Johnson,Democrat,800139,1424983,56.15077513,1424983,56.15077513
1964,North Carolina,37,Barry Goldwater,Republican,624844,1424983,43.84922487,1424983,43.84922487
1968,North Carolina,37,Hubert Humphrey,Democrat,464113,1587493,29.23559348,1091305,42.52825745
1968,North Carolina,37,Richard Nixon,Republican,627192,1587493,39.50833169,1091305,57.47174255
1972,North Carolina,37,George McGovern,Democrat,438705,1518612,28.88855086,1493594,29.3724399
1972,North Carolina,37,Richard Nixon,Republican,1054889,1518612,69.46402373,1493594,70.6275601
1976,North Carolina,37,"CARTER, JIMMY",Democrat,927365,1677906,55.26918671,1669325,55.5532925
1976,North Carolina,37,"FORD, GERALD",Republican,741960,1677906,44.21940204,1669325,44.4467075
1980,North Carolina,37,"REAGAN, RONALD",Republican,915018,1855833,49.30497518,1790653,51.09968263
1980,North Carolina,37,"CARTER, JIMMY",Democrat,875635,1855833,47.18285535,1790653,48.90031737
1984,North Carolina,37,"REAGAN, RONALD",Republican,1346481,2175361,61.89689895,2170768,62.02786295
1984,North Carolina,37,"MONDALE, WALTER",Democrat,824287,2175361,37.89196368,2170768,37.97213705
1988,North Carolina,37,"BUSH, GEORGE H.W.",Republican,1237258,2134370,57.96829978,2127425,58.15753787
1988,North Carolina,37,"DUKAKIS, MICHAEL",Democrat,890167,2134370,41.70631146,2127425,41.84246213
1992,North Carolina,37,"BUSH, GEORGE H.W.",Republican,1134661,2611850,43.44280874,2248703,50.45846428
1992,North Carolina,37,"CLINTON, BILL",Democrat,1114042,2611850,42.6533683,2248703,49.54153572
1996,North Carolina,37,"DOLE, ROBERT",Republican,1225938,2515807,48.72941366,2333787,52.52998667
1996,North Carolina,37,"CLINTON, BILL",Democrat,1107849,2515807,44.03553214,2333787,47.47001333
2000,North Carolina,37,"BUSH, GEORGE W.",Republican,1631163,2914990,55.95775629,2888855,56.46399698
2000,North Carolina,37,"GORE, AL",Democrat,1257692,2914990,43.14567117,2888855,43.53600302
2004,North Carolina,37,"BUSH, GEORGE W.",Republican,1961166,3501007,56.01719734,3487015,56.241972
2004,North Carolina,37,"KERRY, JOHN",Democrat,1525849,3501007,43.58314622,3487015,43.758028
2008,North Carolina,37,"OBAMA, BARACK H.",Democrat,2142651,4310851,49.7036664,4271125,50.1659633
2008,North Carolina,37,"MCCAIN, JOHN",Republican,2128474,4310851,49.37479862,4271125,49.8340367
2012,North Carolina,37,"ROMNEY, MITT",Republican,2270395,4505372,50.3930641,4448786,51.0340349
2012,North Carolina,37,"OBAMA, BARACK H.",Democrat,2178391,4505372,48.35096858,4448786,48.9659651
2016,North Carolina,37,"TRUMP, DONALD J.",Republican,2362631,4741564,49.8280947,4551947,51.9037458
2016,North Carolina,37,"CLINTON, HILLARY",Democrat,2189316,4741564,46.17286617,4551947,48.0962542
2020,North Carolina,37,"TRUMP, DONALD J.",Republican,2758773,5524802,49.93433249,5443065,50.68418253
2020,North Carolina,37,"BIDEN, JOSEPH R. JR",Democrat,2684292,5524802,48.58621178,5443065,49.31581747
1948,North Dakota,38,Harry Truman,Democrat,95812,220716,43.40963048,210951,45.41907836
1948,North Dakota,38,Thomas Dewey,Republican,115139,220716,52.16613204,210951,54.58092164
1952,North Dakota,38,Adlai Stevenson,Democrat,76694,270127,28.39183051,268406,28.57387689
1952,North Dakota,38,Dwight Eisenhower,Republican,191712,270127,70.97106176,268406,71.42612311
1956,North Dakota,38,Adlai Stevenson,Democrat,96742,253991,38.08875118,253508,38.16132035
1956,North Dakota,38,Dwight Eisenhower,Republican,156766,253991,61.72108461,253508,61.83867965
1960,North Dakota,38,John Kennedy,Democrat,123963,278431,44.52198211,278273,44.54726114
1960,North Dakota,38,Richard Nixon,Republican,154310,278431,55.42127134,278273,55.45273886
1964,North Dakota,38,Lyndon Johnson,Democrat,149784,258389,57.96841197,257991,58.05783923
1964,North Dakota,38,Barry Goldwater,Republican,108207,258389,41.87755671,257991,41.94216077
1968,North Dakota,38,Hubert Humphrey,Democrat,94769,247882,38.23149724,233438,40.59707503
1968,North Dakota,38,Richard Nixon,Republican,138669,247882,55.9415367,233438,59.40292497
1972,North Dakota,38,George McGovern,Democrat,100384,280514,35.78573618,274493,36.57069579
1972,North Dakota,38,Richard Nixon,Republican,174109,280514,62.06784688,274493,63.42930421
1976,North Dakota,38,"FORD, GERALD",Republican,153684,297308,51.69184818,289762,53.03801051
1976,North Dakota,38,"CARTER, JIMMY",Democrat,136078,297308,45.77004319,289762,46.96198949
1980,North Dakota,38,"REAGAN, RONALD",Republican,193695,301116,64.32570836,272884,70.98070975
1980,North Dakota,38,"CARTER, JIMMY",Democrat,79189,301116,26.2985029,272884,29.01929025
1984,North Dakota,38,"REAGAN, RONALD",Republican,200336,308971,64.83974224,304765,65.73458238
1984,North Dakota,38,"MONDALE, WALTER",Democrat,104429,308971,33.79896495,304765,34.26541762
1988,North Dakota,38,"BUSH, GEORGE H.W.",Republican,166559,297261,56.03123181,294298,56.59535573
1988,North Dakota,38,"DUKAKIS, MICHAEL",Democrat,127739,297261,42.97200104,294298,43.40464427
1992,North Dakota,38,"BUSH, GEORGE H.W.",Republican,136244,308133,44.21597167,235412,57.87470477
1992,North Dakota,38,"CLINTON, BILL",Democrat,99168,308133,32.18350517,235412,42.12529523
1996,North Dakota,38,"DOLE, ROBERT",Republican,125050,266411,46.93875253,231955,53.91131901
1996,North Dakota,38,"CLINTON, BILL",Democrat,106905,266411,40.12784757,231955,46.08868099
2000,North Dakota,38,"BUSH, GEORGE W.",Republican,174852,288256,60.65858126,270136,64.72739657
2000,North Dakota,38,"GORE, AL",Democrat,95284,288256,33.0553397,270136,35.27260343
2004,North Dakota,38,"BUSH, GEORGE W.",Republican,196651,312833,62.86133496,307703,63.90935415
2004,North Dakota,38,"KERRY, JOHN",Democrat,111052,312833,35.49881247,307703,36.09064585
2008,North Dakota,38,"MCCAIN, JOHN",Republican,168601,316621,53.25010028,309879,54.40865628
2008,North Dakota,38,"OBAMA, BARACK H.",Democrat,141278,316621,44.62054001,309879,45.59134372
2012,North Dakota,38,"ROMNEY, MITT",Republican,188320,322932,58.31568256,313286,60.11120829
2012,North Dakota,38,"OBAMA, BARACK H.",Democrat,124966,322932,38.69731089,313286,39.88879171
2016,North Dakota,38,"TRUMP, DONALD J.",Republican,216794,344360,62.95562783,310552,69.8092429
2016,North Dakota,38,"CLINTON, HILLARY",Democrat,93758,344360,27.22673946,310552,30.1907571
2020,North Dakota,38,"TRUMP, DONALD J.",Republican,235595,361819,65.11404874,350497,67.21740842
2020,North Dakota,38,"BIDEN, JOSEPH R. JR",Democrat,114902,361819,31.75676236,350497,32.78259158
1948,Ohio,39,Harry Truman,Democrat,1452791,2936071,49.48078572,2898475,50.12259895
1948,Ohio,39,Thomas Dewey,Republican,1445684,2936071,49.23872754,2898475,49.87740105
1952,Ohio,39,Adlai Stevenson,Democrat,1600367,3700758,43.24430292,3700758,43.24430292
1952,Ohio,39,Dwight Eisenhower,Republican,2100391,3700758,56.75569708,3700758,56.75569708
1956,Ohio,39,Adlai Stevenson,Democrat,1439655,3702265,38.88579019,3702265,38.88579019
1956,Ohio,39,Dwight Eisenhower,Republican,2262610,3702265,61.11420981,3702265,61.11420981
1960,Ohio,39,John Kennedy,Democrat,1944248,4161859,46.71585462,4161859,46.71585462
1960,Ohio,39,Richard Nixon,Republican,2217611,4161859,53.28414538,4161859,53.28414538
1964,Ohio,39,Lyndon Johnson,Democrat,2498331,3969196,62.94299904,3969196,62.94299904
1964,Ohio,39,Barry Goldwater,Republican,1470865,3969196,37.05700096,3969196,37.05700096
1968,Ohio,39,Hubert Humphrey,Democrat,1700586,3959698,42.94736619,3491600,48.70506358
1968,Ohio,39,Richard Nixon,Republican,1791014,3959698,45.2310757,3491600,51.29493642
1972,Ohio,39,George McGovern,Democrat,1558889,4094787,38.07008765,4000716,38.96525022
1972,Ohio,39,Richard Nixon,Republican,2441827,4094787,59.63257674,4000716,61.03474978
1976,Ohio,39,"CARTER, JIMMY",Democrat,2009959,4110456,48.89868667,4010585,50.1163546
1976,Ohio,39,"FORD, GERALD",Republican,2000626,4110456,48.67163157,4010585,49.8836454
1980,Ohio,39,"REAGAN, RONALD",Republican,2206545,4283603,51.51142625,3958959,55.73548501
1980,Ohio,39,"CARTER, JIMMY",Democrat,1752414,4283603,40.90981354,3958959,44.26451499
1984,Ohio,39,"REAGAN, RONALD",Republican,2678559,4563235,58.69868635,4503999,59.47068372
1984,Ohio,39,"MONDALE, WALTER",Democrat,1825440,4563235,40.00319948,4503999,40.52931628
